x,y,dxdefault,dydefault
125.0,33.0000000000003,0,0
125.05,33.0000000000003,0,0
125.1,33.0000000000003,0,0
125.15,33.0000000000003,0,0
125.2,33.0000000000003,0,0
125.25,33.0000000000003,0,0
125.3,33.0000000000003,0,0
125.35,33.0000000000003,0,0
125.4,33.0000000000003,0,0
125.45,33.0000000000003,0,0
125.5,33.0000000000003,0,0
125.55,33.0000000000003,0,0
125.6,33.0000000000003,0,0
125.65,33.0000000000003,0,0
125.7,33.0000000000003,0,0
125.75,33.0000000000003,0,0
125.8,33.0000000000003,0,0
125.85,33.0000000000003,0,0
125.9,33.0000000000003,0,0
125.95,33.0000000000003,0,0
126.0,33.0000000000003,0,0
126.05,33.0000000000003,0,0
126.1,33.0000000000003,0,0
126.15,33.0000000000003,0,0
126.2,33.0000000000003,0,0
126.25,33.0000000000003,0,0
126.3,33.0000000000003,0,0
126.35,33.0000000000003,0,0
126.4,33.0000000000003,0,0
126.45,33.0000000000003,0,0
126.5,33.0000000000003,0,0
126.55,33.0000000000003,0,0
126.6,33.0000000000003,0,0
126.65,33.0000000000003,0,0
126.7,33.0000000000003,0,0
126.75,33.0000000000003,0,0
126.8,33.0000000000003,0,0
126.85,33.0000000000003,0,0
126.9,33.0000000000003,0,0
126.95,33.0000000000003,0,0
127.0,33.0000000000003,0,0
127.05,33.0000000000003,0,0
127.1,33.0000000000003,0,0
127.15,33.0000000000003,0,0
127.2,33.0000000000003,0,0
127.25,33.0000000000003,0,0
127.3,33.0000000000003,0,0
127.35,33.0000000000003,0,0
127.4,33.0000000000003,0,0
127.45,33.0000000000003,0,0
127.5,33.0000000000003,0,0
127.55,33.0000000000003,0,0
127.6,33.0000000000003,0,0
127.65,33.0000000000003,0,0
127.7,33.0000000000003,0,0
127.75,33.0000000000003,0,0
127.8,33.0000000000003,0,0
127.85,33.0000000000003,0,0
127.9,33.0000000000003,0,0
127.95,33.0000000000003,0,0
128.0,33.0000000000003,0,0
128.05,33.0000000000003,0,0
128.1,33.0000000000003,0,0
