x,y,dx2020,dy2020
125.0,33.0000000000003,0.06276229585999715,-0.0020343530707975788
125.05,33.0000000000003,0.06333999945100288,-0.00103909828850135
125.1,33.0000000000003,0.06389140692699868,-6.200975597892011e-06
125.15,33.0000000000003,0.06442103459099258,0.0010750660585046035
125.2,33.0000000000003,0.06493711578200134,0.0022168973991014695
125.25,33.0000000000003,0.06541462991100389,0.003427124030501716
125.3,33.0000000000003,0.06586608473800482,0.004674109949000638
125.35,33.0000000000003,0.06627148560900764,0.005986217244299041
125.4,33.0000000000003,0.06662405696199869,0.00733724361240462
125.45,33.0000000000003,0.06694535139199331,0.008747174764899057
125.5,33.0000000000003,0.06721581343599325,0.010225331378400426
125.55,33.0000000000003,0.06745126440999627,0.01177721688929978
125.6,33.0000000000003,0.06763789401401255,0.013386641815799294
125.65,33.0000000000003,0.06778359754699181,0.015055466608004053
125.7,33.0000000000003,0.0678889692810003,0.01679901865379918
125.75,33.0000000000003,0.06795487419300628,0.01862603463209922
125.8,33.0000000000003,0.06797087904099897,0.02054147888539859
125.85,33.0000000000003,0.06793296952901073,0.02255829392269959
125.9,33.0000000000003,0.06783509176699454,0.024694780878704137
125.95,33.0000000000003,0.0676521786799924,0.026973291499700736
126.0,33.0000000000003,0.06736519133799845,0.029431363835101365
126.05,33.0000000000003,0.06691453100999922,0.03205920106189808
126.1,33.0000000000003,0.06622905445500749,0.03489937882890359
126.15,33.0000000000003,0.06521376350899288,0.03788310176920362
126.2,33.0000000000003,0.06378622523999411,0.040993705794399204
126.25,33.0000000000003,0.061882171446001166,0.04406948045679826
126.3,33.0000000000003,0.059517576415004214,0.04689149959040151
126.35,33.0000000000003,0.05678997242000605,0.04943542264920353
126.4,33.0000000000003,0.05378406302298799,0.05173135012350372
126.45,33.0000000000003,0.050542561806992126,0.05354900179199973
126.5,33.0000000000003,0.0471172693389974,0.05505127613770355
126.55,33.0000000000003,0.04356685880999578,0.05609005820490154
126.6,33.0000000000003,0.039978357226999606,0.056747768694201284
126.65,33.0000000000003,0.03643206915799624,0.057074374624804136
126.7,33.0000000000003,0.03299113498900397,0.056939025680300404
126.75,33.0000000000003,0.029725859728998216,0.0565106854227011
126.8,33.0000000000003,0.026665013704004537,0.05584821866100498
126.85,33.0000000000003,0.02384949983201068,0.05491791910949928
126.9,33.0000000000003,0.02129296883200027,0.05396216853370106
126.95,33.0000000000003,0.018951559062003298,0.05287794413629854
127.0,33.0000000000003,0.016826959097002714,0.051728475796601
127.05,33.0000000000003,0.014873675423004329,0.05068209159970394
127.1,33.0000000000003,0.013045530892000556,0.0496535622661014
127.15,33.0000000000003,0.011308324265996816,0.04863836354309825
127.2,33.0000000000003,0.009652835412993,0.04770153005809874
127.25,33.0000000000003,0.008046312782994391,0.04673633783990283
127.3,33.0000000000003,0.006481107596997049,0.04583661596100086
127.35,33.0000000000003,0.0049571212100119055,0.04487203826820263
127.4,33.0000000000003,0.0034629361310010154,0.04392476467640449
127.45,33.0000000000003,0.0020070851820008784,0.04301205237349848
127.5,33.0000000000003,0.0005807525180046014,0.04202777138480229
127.55,33.0000000000003,-0.0008059808479998765,0.04103398698040195
127.6,33.0000000000003,-0.002155285686001207,0.04000557312060238
127.65,33.0000000000003,-0.0034649405610025497,0.03894751504380167
127.7,33.0000000000003,-0.004721233530005975,0.03784334646550036
127.75,33.0000000000003,-0.0059284317150059,0.03670433216399971
127.8,33.0000000000003,-0.007083722136997039,0.035543587396603016
127.85,33.0000000000003,-0.008181113264996043,0.03435020897790508
127.9,33.0000000000003,-0.00921930335300658,0.03312663827620099
127.95,33.0000000000003,-0.010191954090004174,0.03189159107610351
128.0,33.0000000000003,-0.011105512881997015,0.03063527965330337
128.05,33.0000000000003,-0.011944013515005736,0.029361472572205116
128.1,33.0000000000003,-0.012713007717991331,0.028066099980399883
128.15,33.0000000000003,-0.013409897166013707,0.02676884168459992
128.2,33.0000000000003,-0.014041624854996826,0.02544676473640095
128.25,33.0000000000003,-0.01459511014599002,0.024138665310402985
128.3,33.0000000000003,-0.015077891688008549,0.02283554269950372
128.35,33.0000000000003,-0.015489817098000458,0.02152406171899912
128.4,33.0000000000003,-0.015834828839018655,0.020242313043304705
128.45,33.0000000000003,-0.016109929650980348,0.018957718966099435
128.5,33.0000000000003,-0.016318599675997802,0.017750677220902844
128.55,33.0000000000003,-0.01646172461002493,0.016523580079798705
128.6,33.0000000000003,-0.016540230815991208,0.015385034667801278
128.65,33.0000000000003,-0.01655769956201425,0.014243149513703202
128.7,33.0000000000003,-0.016532444128984025,0.013127136744003565
128.75,33.0000000000003,-0.016441945861004115,0.01207103193249992
128.8,33.0000000000003,-0.01629724293002255,0.011050759568298929
128.85,33.0000000000003,-0.01609903465600837,0.010095491051501426
128.9,33.0000000000003,-0.015855534951015215,0.009170734156704441
128.95,33.0000000000003,-0.01557869090899544,0.00834648174460284
129.0,33.0000000000003,-0.015263852407997547,0.007536032714803298
129.05,33.0000000000003,-0.014909798462014123,0.006772785369101086
129.1,33.0000000000003,-0.014571022638989461,0.006209751578204248
129.15,33.0000000000003,-0.014210604585997544,0.005459425191602918
129.2,33.0000000000003,-0.013794530832996088,0.004903309143898582
129.25,33.0000000000003,-0.013393221982994419,0.004437036328603483
129.3,33.0000000000003,-0.012982857391023117,0.003952076293302298
129.35,33.0000000000003,-0.012557871529992326,0.003585663561899821
129.4,33.0000000000003,-0.012133851138997898,0.0032058932722023314
129.45,33.0000000000003,-0.011696945991985785,0.0028863761593029835
129.5,33.0000000000003,-0.011273070990995393,0.002670751878802946
